reviewContent,rating,sentiment
barang udah sampai tapi pas dinyalain g bisa gmn pertanggung jawaban lazada,1.0,Negative
klo dp1jt tanpa kartu kredit bisa gk brp bln pembayarannya dan sebulannya brp -terimaksh,4.0,Positive
untuk pemasangan di tembok apa ad pihak dari lazada yg memasang a terima kasih,1.0,Negative
kapasitas hdd asli 1 tb dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya,5.0,Positive
barang sesuai dengan gambar,5.0,Positive
hd diterima dg packing bubble bagus hanya tidak tertulis barang elektronik atw keterangan lain agar penanganan lebih hati2 dan istimewa ketika paket dalam perjalanan finally 4bintang lhah,4.0,Positive
mantap gan barang sampai dengan selamat packing rapih pokok mantap lah,5.0,Positive
oke,5.0,Positive
saya sangat puas dengan barang nya kualitas barang sangat membantu hdd saya apabila jatuh dari atas dan pengiriman rapi gk ada lecet kasih bintang 5 dan saya sangat tidak puas dengan peng,5.0,Positive
barang diterima dengan kondisi yang baik tapi packagingnya kurang,4.0,Positive
suka banget sama barangnya packing nya rapi pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini,5.0,Positive
flashdisk ori packing bagus saya suka thx,5.0,Positive
aman cepat pula,5.0,Positive
bagus ori kok cuma hanya aja 58 gb klo 63 gpp hilang 1 gb,4.0,Positive
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,1.0,Negative
baguss bangett kurir nya jga ramah cakep pula wkwk ini 64gb tp cmn 58 sekian gb tp gpp lah yah pokok nya recomended deh,5.0,Positive
produk dah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi,5.0,Positive
barangnya bagus banget sesuai dengan gambar dn deskripsi pengiriman cepat bagus dn recomended bangt,5.0,Positive
packing tanpa bubble warp fisik no minus cuma 58 gb bukan 64 ya lumayan,5.0,Positive
barang ok packing rapii kurir nya ramahh puass,5.0,Positive
produk original mantap semoga awet,5.0,Positive
baik sesuai ekspektasi,5.0,Positive
,5.0,Positive
barang nya oke makasih,5.0,Positive
tumben ninja cepat pengirimannya,5.0,Positive
barang asli dan original terimakasih maju terus toko jet store,5.0,Positive
flashdisk nya bagus sesuai picture barang cepat sampai kurir ramah,5.0,Positive
oke mudah2an awet dan ga crash belum sempet d coba,5.0,Positive
kapasitas cuma 58 gb ajaaaaa huft,5.0,Positive
katanya 64 gb nyatanya cuman 58 gb,4.0,Positive
thks ya barang sdh sampai smga cocok,5.0,Positive
siippp thank lazada,5.0,Positive
udah di trima barang ok moga awet,5.0,Positive
josss tenan,5.0,Positive
ini ori bagus tahan lama masih saya pake,5.0,Positive
kampret kaga kebaca,1.0,Negative
barang bagus quick respon hari ini pesan besok sudah sampai,5.0,Positive
brang cukup bagus,5.0,Positive
sip mantap,5.0,Positive
bagus ori,5.0,Positive
real good,5.0,Positive
bagus,5.0,Positive
good,5.0,Positive
pengiriman sangat lama tgl 19 di pesan tgl 22 barang baru dikemas tgl 23 baru diambil ekspedisi tgl 25 baru sampai masih dijabotabek tapi lama,2.0,Negative
barang tanpa kemasan tanpa pelindung apapun hanya dus tv saja liat dusnya sobek dikit sudah mulai curiga kayaknya pecah ini eeeeellllaaaa pas dibuka pecah beneran bad seller bener bener bad seller mau untung aja tanpa peduli keadaan produk kalo gak ada untung n pelit pakingan ya jgn jualan barang sudah retur mudah mudahan barangnya cepat di kirim lg d,1.0,Negative
barang diterima pada hari akhir yg dijadwalkan yaitu malam hari kondisi barang terlindungi dengan packing bawaan unit kualitas unit adalah kualitas sharp semoga awet bila unit ini dikirim dari gudang lazada di bogor mestinya bisa lebih cpt tiba bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di bogor,4.0,Positive
masukan saja klo bisa packingnya jangan asal dikasih buble wrap minimal ini cuma dipacking pakai plastik biasa sempet khawatir pecah tpi untung gk terjadi,4.0,Positive
pesanan sesuai dgn yg di gambar skrg sy lg coba smoga awet,4.0,Positive
pengiriman tidak sesuai tanggal yang tertera,2.0,Negative
sesuai no tipu2,5.0,Positive
barang ok packing rapih,5.0,Positive
barangnya sampai dengan cepat bagus terimakasih lazada,5.0,Positive
pengiriman cepat packirng rapih harga murah free ongkir,5.0,Positive
mantapp barang nya sesuai pesanan,5.0,Positive
jangan pernah beli disini parah banget barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll,1.0,Negative
hati hati ini tv ga bisa pake usb,1.0,Negative
puas,5.0,Positive
mantap,5.0,Positive
sangat puas dengan produknya terimakasih,3.0,Neutral
memuaskan produk sesuai deskripsi packing bagus dan penerimaan produk cepat untuk saya yg berada di jkt,5.0,Positive
kenapa chargernya tidak lengkap g bisa langsung dipakai buat charger kita harus nyari dan beli lagi sambungan buat chargernya tolong d bantu,3.0,Neutral
ini spek ram nya 2gb atau 4gb,1.0,Negative
gan saya sarankan untuk lebih berhati-hati dalam membeli flashdisk yang dikirim ke saya adalah flashdisk rekondisi daur ulang bekas jangan tertipu oleh harga mas dosa mas bohong di flashdisknya ada tulisan nama aryo yang sengaja dihapus tp kurang bersih file yang dikirim ke flashdisk juga error makan duit haram mas kenyang tp ga berkah,1.0,Negative
barang cepat sampainya kualitas fd kurang bagus file yang di copy sering corrupt,2.0,Negative
palsu,1.0,Negative
very good,5.0,Positive
korup terus klo di copy ke fd mengecewakan,1.0,Negative
hardisknya keren pelindungnya kokoh udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada,5.0,Positive
sampainya agak lama tapi puas packing rapi dan pas dateng warnanya biru seneng banget gan hehe top deh semoga awet barangnya,4.0,Positive
trims lazada reseller barang sdh saya terima senin siang penigiriman sesuai dengan yg di informasikan,5.0,Positive
sesuai spek yg saya mau jd oke lah,5.0,Positive
barangnya bagus rapi tidak mengecewakan akan tetapi bagus kalau ada bonus pouch nya hehhe,5.0,Positive
barang udah sampe gunn masih segell dari pabriknya mangstabb,5.0,Positive
barang tlah diterima kondisi baik,5.0,Positive
barang sesuai deskripsi penjual ramah respon cepat,5.0,Positive
packaging rapi flashdiksnya ori kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai barangnya datang sesuai tepat waktu makasih ya,5.0,Positive
flashdisknya sudah diterima dengan baik kapasitas total 58 544 586 752 bytes dengan fat32 menjadi 62 885 724 160 bytes kalau diformat dengan exfat write speed 10mb s dan read 30 mb s dengan port usb 2 0 belum dicoba dengan port usb 3 0,5.0,Positive
terima kasih barang bagus dan respon penjual sgt baik,5.0,Positive
barang sudah diterima dgn baik packing rapih tp isinya cuma 58gb selebihnya oke,5.0,Positive
pas cocok buat anda semua bgus sesuai deskripsi,5.0,Positive
puas,5.0,Positive
flashdisk 64gb casing metal baguss,5.0,Positive
sesuai deskripsi,5.0,Positive
barang dah sampai makasih,5.0,Positive
mantap barang gak minus sama sekali,5.0,Positive
pengiriman cepat packing cukup bagus,5.0,Positive
biarkan bintang yang berbicara,5.0,Positive
barangnya ok cepat sampai,5.0,Positive
pengirimannya cepat produk baik,5.0,Positive
barang sesuai dengan deskripsi dan berfungsi baik,5.0,Positive
sampai cepat barang sesuai,5.0,Positive
dikirim hari berikutnya dan barang mulus,4.0,Positive
oke,5.0,Positive
baik,4.0,Positive
ram 8gb atau 4gb,2.0,Negative
tv led dengan pilihan input yang lengkap hdmi dv vga kami beli untuk keperluan kantor yang penggunaannya bisa multi-source panasonic satu-satunya merk yang menyediakan fasilitas ini sepanjang pengetahuan kami kualitas gambar juga bagus dengan bezel tipis yang memberikan kesan lega extra bracket memudahkan pemasangan di dinding bravo panasonic,5.0,Positive
cuma butuh waktu 12 jam unit tiba thks,5.0,Positive
mau cicilan gmn caranya6,1.0,Negative
nyicil dengan cara mudah prosesnya susah nggak,3.0,Neutral
pokonya puas,5.0,Positive
puas bgt pengiriman sesuai jadwal barang bagus packing rapih buat maen game enak bgt hihii murah lagi tenkyu lazada,5.0,Positive
saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,3.0,Neutral
saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada hanya keterangan saja di dusnya bahwa barang ini original resmi indonesia bergaransi dengan diberi nomor telpon service centernya memory yang tersedia ternyata juga tidak sampai 2 tb tetapi 1 81 tb selisih 0 19 tb besar banget selisihnya tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak tapi tidak begitu masalah eksternal hardisk ini bekerja bagus cepat dan hadiah hardcase cukup bagus untuk melindungi barang ini dari debu dan benturan sayangnya saat di registrasi ke official webnya wd ternyata identification numbernya tidak dikenal tidak valid alias barang ini bukan asli alias kw seller responsif sayangnya tidak memberitahu asli tidaknya barang ini pengiriman terhitung cepat dalam 2 hari barang sudah di tangan mudah2an saja barang ini awet wslaupun tdk original,3.0,Neutral
barang bagus peking rapih gua rekomendasikan banget lah klo barangnya cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti mending buat pengiriman lain deh lbi bgus,3.0,Neutral
mantab speed konsisten total size asli 1 81gb pas sejauh ini masih normal digunakan nice job seller n lazada,5.0,Positive
barang belum terima pihak lazada bilang sidah diterima cek di jne lhoksukon aceh utara barang tidak ada ada masalah petigasnya tdk ramah dan tdk ada solusk mana yg benar email ke cs jne sama cs lazada tdk ada reapon bagaimana nasih barang saya harga 1 jt an,1.0,Negative
smuanya mntap,5.0,Positive
pengiriman cepat hr ini kirin lusa udh terima packing rapi pake bubble jg kwalitas product oke tq,5.0,Positive
saya rekomendasikan beli disini,5.0,Positive
sudah sampaiii,5.0,Positive
warna sesuai pesanan spek persis ok dah,5.0,Positive
thanks respon cepat hdd ext 2tb sampai sesuai pesanan,4.0,Positive
original packing rapi,5.0,Positive
barang good condition and delivery ok,5.0,Positive
barang oke,5.0,Positive
foto produk sesuai dengan asli warna birunya bagus saya pesan dan bayar produk ini pada tanggal 21 oktober 2018 dan produk ini datang pada tanggal 23 oktober 2018 dalam kondisi baik dan berfungsi untuk macbook pro saya meskipun saya harus format dahulu saya mendapat bonus poket untuk external hdd saya ini mudah-mudahan produk ini awet terima kasih lazada,4.0,Positive
packing rapi dan pengiriman tepat waktu sejauh ini berfungsi dengan baik harapannya semoga awet ni barang,5.0,Positive
barangnya bagus kecil compaq dan packing baik,5.0,Positive
good product with reasonable price,5.0,Positive
packing rapi kualitas oke fitur2 persis seperti deskripsi desain keren cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9-10 mb s,5.0,Positive
gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive mohon penjelasannya barang sdh saya buka saya br x ini kecewa,1.0,Negative
smua yang di ulasan bener smua apa mreka kata kapasitas terbaca 29 5gb karena terpakai sistem pengiriman lebih cepat dari extimasi,5.0,Positive
barang sdh diterima pengirimannya cepat data yg terbaca 29 1gb iya karena space 32gb tdk terbaca 32gb full terima kasih atas fast responnya n barangnya ori,5.0,Positive
pengiriman cepet tapi tranfer failnya lemot,5.0,Positive
flashdisknya bagus tapi jatoh sama teman akhirnya rusak untuk mengeluarkan nya,4.0,Positive
cepet sampai barang asli bagus lah thanks lazada,5.0,Positive
barang cepat cuma 2 hari garansi resmi mantabb,5.0,Positive
cepet sampai 1 hari udah sampai barang bagus gk cepet panas walau di pake lama pokoknya mantab,4.0,Positive
bagus packing rapi modelnya aku suka thanks lazada,5.0,Positive
barang bagus pertahankan,5.0,Positive
barangnya sudah saya terima kondisi sangat baik trimakasih lazada,4.0,Positive
produk oke dan original by datascrip tapi sayang kapasitas bersihnya 29gb,4.0,Positive
pengiriman cepet barang bagus transfer data lebih cepat daripada tipe cruzer switch,5.0,Positive
produk mantap sesuai deskripsi,5.0,Positive
good,5.0,Positive
produk sesuai pengiriman cepat,5.0,Positive
produk bagus,5.0,Positive
barang sangat bagus trimakasih,5.0,Positive
barang yg dikirim tidak seperti yang di gambar,2.0,Negative
barang yg sampe cruzer yg biasa tidak sesuai di gambar tapi size-nya 64gb,4.0,Positive
cukup bagus,5.0,Positive
knpa prosesnya lama apa gagal atau sya harus pesan lagi,2.0,Negative
barang saya ko gaada ya padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah mohon diperiksa kembali saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang,1.0,Negative
kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,3.0,Neutral
flashdisk 64gb tpi isi cm 2gb gk bs dipakai,1.0,Negative
tidak bisa berfungsi menyimpan data,1.0,Negative
barang tidak pernah sampai yg hitam yg putih ga bisa dipake,1.0,Negative
pengiriman lama warna yang dateng putih bukan hitam,1.0,Negative
krn pesanan tdk sesuai dengan kirimannya dr warna saja saya pesan hitam dikirm putih dan tidak bisa dipakai di labtop anak saya seharusnya tidah seperti itu yah,1.0,Negative
flashdisk saat dicopy file yg kebaca setengah doang ud mana beli 2 saya tertipu pantes g garansi hati hati untuk yg mau beli,1.0,Negative
ketika barang datang masih di luar kota 2 minggubkemudian baru cek barang dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 gb sedangkan di flashdisk memang tertulis 64 gb setelah dicoba untuk kopi file ternyata banyak yang failed dan yang berhasil dikopi ternyata juga tidak dapat dibuka sepertinya ini hanyalah produk gagal buatan oem yang dibuat asal-asalan untuk dijual murah dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara,1.0,Negative
rusak gk bisa dipakai kapok,1.0,Negative
ga bisa dipakai,1.0,Negative
barangnya lama sekali,1.0,Negative
produk jauh dari yang diharapkan sangat kecewa,1.0,Negative
kok dapet nya warna biru,1.0,Negative
barang diterima cepat seller n lazada pelayanan bagus kemasan rapi kasih plastik tebal lagi good tvnya cakep sesuai gambar n speknya display cukuplah sesuai sempat ada baut casing lepas dikencangkan ternyata bisa recomended buat yang nyari,5.0,Positive
ini tv jg bs jadi monitor pc kan,4.0,Positive
boleh kredit bang,5.0,Positive
1 hari order besok langsung sampai fast respon fast seller,5.0,Positive
biar bintang yang berbicara,5.0,Positive
bagus barangnya,5.0,Positive
mantab reseller nya pengiriman cepat dan pakingan ok thank s reseller dan lazada sukses selalu buat reseller dan lazada,5.0,Positive
packing dan barangnya ok namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya,5.0,Positive
pengiriman cepat kualitas gambar bagus terutama kualitas suaranya oke dvb t2 berfungsi baik cuma remote ada yg error tombol source tidak fungsi jd kalau mau ganti ke usb hdmi atau lainnya mesti pencet tombol fisik di tvnya sudah minta ganti ke seller malah disuruh contact aquanya kata aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya ribet deh dipingpong,2.0,Negative
ini layar sentuh bukan yah,3.0,Neutral
saya pesan uang sdah d transfer tapi barng tdk sampai,1.0,Negative
bagi yang minat order pesan barang kami silahkan add whatsapp wa 085200343400 langsung dari reseller toko terimah kasih,5.0,Positive
hi sist gan stocknya masih ready informasi produk kami silahkan chat add whatsapp 0852-5468-9727 respon cepat aman terpercaya pengiriman via jne tiki seller resmi lazada terima kasih,5.0,Positive
untuk info buat pelanggan setia kami di karenakan lazada slow respon cepat aman dan terpercaya kami buka orderan pemesanan beli 1 garatis 1 melalui via whatsapp wa 085250720044,5.0,Positive
bagi yang minat order pesan barang kami untuk lebih memastikan silahkan add whatsapp wa 085200343400 langsung dari reseller toko terimah kasih,5.0,Positive
klu cicilan gmn cranya yah,1.0,Negative
saya dari sumba timur-waingapu,4.0,Positive
cara kredit nya bagaimana,5.0,Positive
bisa di cicil gak,3.0,Neutral
laptop nya bagus,5.0,Positive
tidak bisa di kurangi ya biar jadi 1 000000,1.0,Negative
ini berapa inci ya layarnya,3.0,Neutral
ini bayar di tempat apa tidak,1.0,Negative
bayar ditempat,3.0,Neutral
caranya gmn ya,1.0,Negative
rizi,4.0,Positive
ditulis khusus jabodetabek tp tersedia diwilyah lampung dibeli tp dicancel krn diluar daerah klo gk bisa harusnya dtulis tdk tersedia diwil anda,1.0,Negative
gmana caranya klw mau ikut kredit di lazada,3.0,Neutral
bisa kiri ke kota blitar tidak,1.0,Negative
klw di kirim k karawang bisa gak,2.0,Negative
gambarnya tidak keliatan,2.0,Negative
terimakasih barang nya memuaskan semoga awet juga,5.0,Positive
mantuulll,5.0,Positive
makasih gan tapi produk nya saya mesen yang 16gb dateng nya mlh yang 32gb mungkin slh masukin produk,5.0,Positive
alhamdulillah puas wlau pengirimannya hmpr mlm tpi semuanya ok,5.0,Positive
barangnya bagus suara dan gambar jernih mudah mudahan awet pengepakanya rapi datang tepat waktu kurirnya juga ramah makasih lazadd,5.0,Positive
barang cukup memuaskan seller responsif packing aman karena dari kayu yah tpi pengirimannya agak sedikit lama tpi its ok yang penting barang sudah sampai,5.0,Positive
packing rapih dan aman banget barangnya pengiriman cepat hari ini order besok langsung dateng pokonya seller recommended dari segi harga juga bersaing d,5.0,Positive
tv nya sudah datang alhamdulillah amin,1.0,Negative
produknya sesuai dgn gambar puas bgt,5.0,Positive
tv a bagus bngt layar a jga jernih bngt,5.0,Positive
puas sama produknya bagus n berkualitas,5.0,Positive
good job,5.0,Positive
bgs,5.0,Positive
siip,5.0,Positive
aku puas banget sama layanan di lazada pengirimannya cepat barangnya juga gak lecet sedikit pun terimakasih lazada,5.0,Positive
min ram nya emang segitu,5.0,Positive
barang asli dan sesuai,5.0,Positive
wd my passport 4tb harga paling murah dibanding tempat lain sudah cek online dan offline barang bagus sudah di cek total kapasitas 3 64tb original bisa di-register ke web wd nya untuk garansi 3 thn diberi beberapa software utility free diantaranya wd security untuk protect hd agar tdk bisa dibuka orang lain dan ada bonus pouch lumayan buat tempat hd nya,5.0,Positive
order mi notebook air gold 12 5 inch sampai sesuai harapan barangnya asli packagingnya aman bagus sellernya informatif cepat dikirimnya dan sudah ready terinstall dengan windows 10 english version terima kasih banyak seller,5.0,Positive
pengiriman barang ternyata sangat cepat hari ke-2 barang sudah diterima dalam keadaan baik packing rapih dan setelah dicek laptop bekerja sesuai harapan terima kasih atas layanannya yang sangat baik,5.0,Positive
pengirimannya benar-benar top packingnya rapi dan aman barangnya oke windowsnya udah pakai win 10 english version top deh,5.0,Positive
lebih keren dari perkiraan awal windows 10 sudah dikonfersi ke bahasa inggris mantab,5.0,Positive
gan kok gak dapat di kirm ke nad disitu tertulis barang ini tidak dapat di kirim ke lokasi anda,5.0,Positive
mbak mas kabari ya barang kalau udah ready stok saya rencana mau order mkasih,5.0,Positive
pelayanannya baik,5.0,Positive
pengiriman cepat barang di terima dengan baik dan lengkap langsung coba dapat bonus usb led dll recommended seller,5.0,Positive
barang bagus awet sampai sekarang,5.0,Positive
pemasangan anti virus oleh pihak wd secara online dibantu memasang juga mantap lazadaterpercaya,5.0,Positive
pengiriman cpt smp produk bagus sesuai gambar trims,3.0,Neutral
saya kira antivirusnya ada kasetnya eh ternyata cuma dikasih nomor serial disuruh download sendiri overall bagus lah pengiriman cepat cuma 1 hari datang,4.0,Positive
hrg bersaing bagus,5.0,Positive
bagus koq cm gak pake antivirusnya aja ribet sih d,5.0,Positive
ntaps,5.0,Positive
barang sudah diterima dan pengiriman lumayan cepat tapi ada 2 hal yg harus penjual perhatikan 1 di etalase tv dijual dengan bonus free braket tapi yang datang cuma tv nya doang braketnya ga ada 2 ongkir tercantum rp 200 000 saya kirim sesuai yg tercantum tp pas di cek di resi yang tercantum oleh ekspedisi cobra ternyara cuma 75 000 tetep konsumen yang dirugikan toko ini jadi catatan buat saya kecuali menylesaikannya,2.0,Negative
tv nya udh seminggu blm sampai juga sepertinya harus meningkatkan pengiriman nya lebih diperhatikan supaya sampai sesuai estimasi thanks,3.0,Neutral
ini bisa nonton dengar music liat poto via usb gk,5.0,Positive
sesuai pesanan bagus thanks gan,5.0,Positive
produk dgn pesanan no 3288859132 sudah diterima,5.0,Positive
ok sesuai sm deksripsi,5.0,Positive
alhamdulillah barang sampai dengan aman karna peking yang bagus semoga barang awet selalu amanah dan lancar rejekinya amiin,5.0,Positive
sesuai dengan pesanan semoga awet ya,5.0,Positive
kualitas ori kapasitas sesuao dengan dekripsinya,5.0,Positive
barang bagus dengan harga ok,5.0,Positive
barang bagus dan berfungsi,4.0,Positive
virus shortcut,1.0,Negative
packing ok barang sesuai deskripsi,5.0,Positive
barangnya tiba dengan selamat cepat tapi kemasan otg nya nggak memuaskan,3.0,Neutral
siiplah pokonya thanks lazada,5.0,Positive
mudah2 n awet barang nya ada hologram nya,5.0,Positive
suka bgt barangx mulus lus lus and berfungsi dgan baik thanks lazada,4.0,Positive
barang sampe sesuai pada waktu nya packingan rapi terima kasih lazada,5.0,Positive
mudah2n awet amin,4.0,Positive
warna tidak sesuai,4.0,Positive
eliminasi 2 hari packing rapi tapi warna gak sesuai yang di ingini tapi barang normal work,4.0,Positive
product oke sesuai destkripsi dapet tas backpack jga recomend seller good dah pkknya,5.0,Positive
laptop nya dikirim sangat top modal kaciwa,5.0,Positive
sesuai dengan keinginan dan kebutuhan,5.0,Positive
paket sudah saya terima terlambat sedikit pengirimannya tapi tidak apa apa thanks lazada,5.0,Positive
respon cepat dan pengiriman cepat via go send,5.0,Positive
flashdisk baru waktu pas beli lagi diskon packagingnya jga rapih so far so good,5.0,Positive
barang cepet sampe thanks,5.0,Positive
brg sesuai cuma delivery agak lama,4.0,Positive
ok deh mantep,5.0,Positive
flashdisk sandisk ok banget ada bonus lagi terima kasih,5.0,Positive
barangnya bagus untuk harga semurah ini,5.0,Positive
gan saya pesan warna biru kok yang datang warna merah,2.0,Negative
8 hari baru sampai sistemnya kosong root saja tampil jadi hrs install ulang packingan rapi dan tersegel,3.0,Neutral
barang yg di kirim tidak sesuai dengan yang di tampilkan,2.0,Negative
barang sudah sampe untuk pengriman ke kupang ntt waktunya termasuk cepat packing safe dan rapi barang sesuai gambar dan spek yang ditawarkan tx lazada kenkez,5.0,Positive
tengkyuu barangnya nyampe tepat waktu packing rapi dan savety banget recommended seller,5.0,Positive
terlambat satu hari karena kurir sampai dikantor pada malam hari jd besoknya baru bisa saya terima tp barang saya terima dengan baik terima kasih,4.0,Positive
barang sesuai pemesanan pengiriman cepat jakarta,5.0,Positive
harddisk berjalan dengan baik kelengkapan juga oke,5.0,Positive
2bulan pake crashed pdhl ga prnah jatoh,1.0,Negative
jum at pesan besoknya nyampai barang bagus tdk ada cacatnya terima kasih lazada,5.0,Positive
maaf baru sempat review secara umum cukup puas dengan layanan penjual packing bagus rapih dan aman fisik barang sesuai gambar dan ulasan yang ada di website hanya saya mis-informasi aja karena ternyata hd external wd ini gak dapat sarungnya overall saya rekomendasi sellernya thanks dan tingkatkan selalu pelayanannya sukses,5.0,Positive
mantapppp,5.0,Positive
bagus sesuai pesanan,5.0,Positive
flashdisk nya lucu sesuai dengan gambar pokoknya suka,5.0,Positive
cukup memuaskan,2.0,Negative
sip,4.0,Positive
diresponnya cepat 2 hari datang usb nya gak mengecewakan sama kayak yang digambar,5.0,Positive
barang diantar dengan cepat dan sesuai dengan penjelasan yang ada penjual merespondengan cepat,4.0,Positive
wkt baca2 di keterangannya ini bkn ori alias kw tp coba krn review yg lain jg ok tp memang ok bgt bs dipakai dgn baik bole yg mau beli,4.0,Positive
barang nya sesuai dan mulus di bungkus rapi,3.0,Neutral
matul bangetz barangnya berfungsi sesuai harapan sukses trus bwt toko dan lazada pengiriman super cepat blum waktunya udah lngsung dikirim mantul dah poko e,5.0,Positive
maap bru ksi ulasan barang yampe dengan slamt dan aman tpi belum di coba krna belum sempet moga awet dan dan bagus,5.0,Positive
barang sesuai pesanan pengiriman tepat waktu paking rapih puas banget,5.0,Positive
ok,5.0,Positive
item arrived in perfect condition and still working well until today fast delivery and great customer service communication thanks,3.0,Neutral
ini cuman my passport biasa bukan my passport ultra tulis deskripsi yang bener ya,1.0,Negative
awet,5.0,Positive
untuk semua hardisk kah gan,5.0,Positive
product ok sesuai dengan foto pengiriman lebih cepat dari estimasi ok,5.0,Positive
barang sesuai gambar dan bagus,5.0,Positive
tidak sesuai gambar,1.0,Negative
3 kali cicilan maksudnya 3 bln ya persyaratan untuk kredit apa aja ya,1.0,Negative
kualitas barangny bisa di jamin g ya,2.0,Negative
klu saya mau beli tv di lazada di jamin g ya kualitasnya,3.0,Neutral
gmna,3.0,Neutral
barang sampai dengan baik packingnya bagus isi kotaknya lengkap ada casing hdd kabel male-to-male obeng kecil baut sama wadah luar alhamdulillaah bisa digunakan dengan baik semoga awet terima kasih,5.0,Positive
pengiriman cepat packing rapi dan aman barang sesuai deskripsi mulai dati pemasangan sampai pemakaian tak ada kendala bekerja dengan normal,5.0,Positive
packing rapih semoga awet thanks lazada,5.0,Positive
packingnya rapi barangnya bagus dan murah tq,5.0,Positive
lumayan lah untuk harga segini sayang ngebaca hdd 700gb lemot euy,3.0,Neutral
cukup puas barang trima ksih lazada,5.0,Positive
bagus,5.0,Positive
lumayan,3.0,Neutral
barang bekerja dengan baik harga murah tapi pengiriman agak lama sukses terus lazada,5.0,Positive
